                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 2.4098,                 1.9643,                 1.3535,                0.30113,                0.09675,                0.07916,                0.03201,                 2.6032,                  2.123,                 1.3402,             0.00014583,             0.00014583,             0.00014583
                     93,                 2.3952,                 1.9177,                 1.3358,                0.18083,                0.12093,                0.08101,                0.03303,                 2.5587,                 2.1173,                 1.3333,             0.00014453,             0.00014453,             0.00014453
                     94,                 2.4269,                 1.9509,                 1.3555,                0.05587,                0.12859,                0.07873,                 0.0326,                 2.5848,                 2.1242,                 1.3465,             0.00014323,             0.00014323,             0.00014323
                     95,                 2.4258,                 1.9834,                 1.3509,                0.22794,                0.10297,                0.08298,                0.03424,                 2.5844,                 2.1232,                 1.3406,             0.00014193,             0.00014193,             0.00014193
                     96,                 2.3767,                 1.9157,                 1.3294,                0.32232,                0.08701,                0.08193,                0.03671,                 2.5157,                 2.1298,                  1.326,             0.00014063,             0.00014063,             0.00014063
                     97,                 2.4219,                 1.9536,                  1.346,                0.21887,                0.10972,                0.07209,                0.03026,                 2.6024,                 2.1418,                 1.3391,             0.00013932,             0.00013932,             0.00013932
                     98,                 2.3948,                 1.9208,                 1.3346,                 0.1545,                0.12089,                0.07632,                0.03211,                 2.5648,                  2.123,                 1.3279,             0.00013802,             0.00013802,             0.00013802
                     99,                 2.3726,                 1.8876,                 1.3457,                0.29051,                0.09963,                0.06888,                0.02927,                 2.5771,                 2.1664,                 1.3388,             0.00013672,             0.00013672,             0.00013672
                    100,                 2.3732,                 1.9212,                 1.3209,                0.30497,                0.09239,                0.07748,                0.03212,                 2.5348,                 2.1193,                 1.3184,             0.00013542,             0.00013542,             0.00013542
                    101,                 2.3969,                 1.9337,                 1.3292,                0.22525,                0.10881,                0.07901,                 0.0326,                 2.5831,                 2.1066,                 1.3364,             0.00013412,             0.00013412,             0.00013412
                    102,                 2.3925,                 1.9304,                 1.3371,                0.22507,                0.09931,                0.08131,                0.03338,                 2.5726,                 2.1247,                 1.3323,             0.00013281,             0.00013281,             0.00013281
                    103,                 2.3772,                 1.9161,                 1.3274,                0.23916,                0.11062,                 0.0843,                0.03448,                 2.5484,                 2.1222,                 1.3242,             0.00013151,             0.00013151,             0.00013151
                    104,                 2.3683,                 1.8606,                 1.3146,                 0.1781,                0.10222,                0.08289,                0.03625,                 2.5589,                 2.1009,                 1.3159,             0.00013021,             0.00013021,             0.00013021
                    105,                 2.3501,                 1.8938,                 1.3171,                0.29516,                0.09798,                0.07972,                0.03466,                   2.55,                 2.1068,                 1.3126,             0.00012891,             0.00012891,             0.00012891
                    106,                 2.3275,                 1.8531,                 1.3083,                0.20648,                0.11675,                0.08916,                0.03649,                 2.5544,                  2.129,                  1.322,             0.00012761,             0.00012761,             0.00012761
                    107,                 2.3582,                 1.8884,                 1.3168,                0.19808,                0.12764,                0.08215,                0.03391,                 2.5297,                 2.0932,                  1.316,             0.00012631,             0.00012631,             0.00012631
                    108,                 2.3412,                 1.8492,                 1.3006,                0.24673,                0.12134,                0.08565,                 0.0365,                 2.5631,                 2.1106,                 1.3247,               0.000125,               0.000125,               0.000125
                    109,                 2.3312,                 1.8436,                 1.3145,                0.29362,                0.09887,                0.07817,                0.03109,                 2.6441,                 2.1279,                 1.3431,              0.0001237,              0.0001237,              0.0001237
